City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
221,Havelock,US,79.05,broken clouds,34.8791,-76.9013,Sherwood Motel
222,Ornskoldsvik,SE,65.35,overcast clouds,63.2909,18.7153,ファーストホテル スタット
223,Sao Joao Da Barra,BR,70.95,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
224,Matay,EG,81.7,clear sky,28.419,30.7792,Nag Aespen
226,Ponta Do Sol,PT,71.01,scattered clouds,32.6667,-17.1,Hotel do Campo
227,Mana,GF,72.79,light rain,5.6592,-53.7767,LE SAMANA
230,Ribnica,SI,66.09,clear sky,45.7386,14.7275,Škrabec homestead
232,Souillac,MU,66.58,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
236,Coruripe,BR,72.91,scattered clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
238,Hounde,BF,78.67,scattered clouds,11.5,-3.5167,Carrefour où ouvriers dorment
239,Gotsu,JP,81.34,clear sky,35.0,132.2167,Yurusato
240,Marzuq,YE,80.2,broken clouds,14.4,46.4667,
244,Rincon,US,79.86,broken clouds,32.296,-81.2354,Days Inn Rincon
248,Cairns,AU,77.07,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
249,Avon,US,82.78,few clouds,41.4517,-82.0354,Fairfield Inn & Suites by Marriott Cleveland Avon
250,Pemba,MZ,73.36,clear sky,-12.974,40.5178,Guesthouse Samotina
253,College,US,77.58,smoke,64.8569,-147.8028,Pike's Waterfront Lodge
255,Praia Da Vitoria,PT,66.76,clear sky,38.7333,-27.0667,Hotel Branco I
256,Mnogovershinnyy,RU,65.93,clear sky,53.9353,139.9242,Obshchezhitiye 14
257,Derveni,GR,75.81,clear sky,38.1333,22.4167,Vicky's Rooms Derveni
258,Esqueda,MX,72.5,broken clouds,30.7167,-109.5833,Hotel Esqueda
260,Ambulu,ID,73.29,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
263,Jiexiu,CN,71.83,few clouds,37.0244,111.9125,IU Hotel Jinzhong Yuhua Road
264,Avera,US,84.54,overcast clouds,33.194,-82.5271,
266,Kyabe,TD,73.6,light rain,9.4515,18.9449,
268,Kudahuvadhoo,MV,81.23,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
269,Qinzhou,CN,80.1,overcast clouds,21.95,108.6167,Jinjiang Inn Style Qingzhou Walmart
271,Acajutla,SV,83.61,few clouds,13.5928,-89.8275,Laureles
274,Tongren,CN,76.62,scattered clouds,27.7172,109.1853,Fanjing Mountain International Conference Center
280,Ariquemes,BR,75.31,few clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
281,Santo Tomas,PH,78.57,moderate rain,14.1079,121.1414,Microtel by Wyndham Batangas
282,Tautira,PF,78.33,light rain,-17.7333,-149.15,Pension Oaoa
284,Astara,AZ,66.4,clear sky,38.5,48.6667,
286,Bainbridge,US,70.63,broken clouds,47.6262,-122.5212,Bainbridge Island Country Inn
288,Lagoa,PT,65.3,clear sky,39.05,-27.9833,Casa Das Faias
289,Alyangula,AU,73.71,light rain,-13.8483,136.4192,Groote Eylandt Lodge
294,Trairi,BR,77.56,overcast clouds,-3.2778,-39.2689,janelas do mar
295,Jiaojiang,CN,82.0,overcast clouds,28.6803,121.4428,Fangyuan Hotel
296,Thinadhoo,MV,81.97,scattered clouds,0.5333,72.9333,
299,Bangassou,CF,68.31,scattered clouds,4.7413,22.8184,
300,Bathsheba,BB,79.75,light rain,13.2167,-59.5167,Atlantis Hotel
306,Auki,SB,84.16,clear sky,-8.7676,160.7034,Auki Motel
307,Alappuzha,IN,77.0,light rain,9.49,76.3264,Panoramic Sea Resort
308,Perivolion,GR,78.66,clear sky,39.4206,20.0147,Santa Maria
309,Hobyo,SO,76.6,few clouds,5.3505,48.5268,Iftin hotel hobyo
311,Fairbanks,US,77.59,smoke,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
313,Panama City,PA,82.29,broken clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
315,Sola,VU,80.37,scattered clouds,-13.8833,167.55,Leumerus Bungalows
320,Det Udom,TH,77.77,overcast clouds,14.906,105.0784,Chatsuda Resort
322,Shirgaon,IN,81.63,overcast clouds,19.7,72.7,"Samarth Krupa Farm, Palghar"
323,Banda Aceh,ID,79.39,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
326,Santa Isabel Do Rio Negro,BR,74.05,broken clouds,-0.4139,-65.0192,Hotel GSA
328,Bengkulu,ID,73.36,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
