City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
113,Mulanje,MW,-16.0316,35.5,59.99,99,99,5.93,overcast clouds,2022-06-29 23:04:38
114,Katsuura,JP,35.1333,140.3,79.47,79,100,7.99,overcast clouds,2022-06-29 23:04:39
115,Kirakira,SB,-10.4544,161.9205,83.75,74,26,15.82,scattered clouds,2022-06-29 23:04:39
116,Balestrand,NO,61.2076,6.5334,57.16,92,35,2.82,scattered clouds,2022-06-29 23:04:40
117,Egvekinot,RU,66.3167,-179.1667,37.63,97,100,8.52,overcast clouds,2022-06-29 23:04:40
118,Bredasdorp,ZA,-34.5322,20.0403,57.11,59,21,2.3,few clouds,2022-06-29 23:04:41
119,Leningradskiy,RU,69.3833,178.4167,41.45,86,76,6.26,broken clouds,2022-06-29 23:04:41
120,Zhanaozen,KZ,43.3,52.8,74.7,39,1,11.83,clear sky,2022-06-29 23:04:42
121,Cidreira,BR,-30.1811,-50.2056,53.49,79,0,11.18,clear sky,2022-06-29 23:04:42
122,Te Anau,NZ,-45.4167,167.7167,47.46,90,100,8.28,overcast clouds,2022-06-29 23:04:43
123,Cockburn Town,TC,21.4612,-71.1419,82.65,73,12,20.02,few clouds,2022-06-29 23:04:43
124,Baykit,RU,61.67,96.37,58.41,76,76,1.92,broken clouds,2022-06-29 23:04:44
125,Hope,US,33.6671,-93.5916,89.65,28,13,6.82,few clouds,2022-06-29 23:04:44
126,Luwuk,ID,-0.9516,122.7875,78.89,86,58,1.3,broken clouds,2022-06-29 23:04:45
127,Lingao,CN,19.9103,109.6859,80.64,84,100,3.76,overcast clouds,2022-06-29 23:04:45
128,Kintinku,TZ,-5.8833,35.2333,64.62,58,68,3.02,broken clouds,2022-06-29 23:04:45
129,Yellowknife,CA,62.456,-114.3525,62.56,45,3,5.99,clear sky,2022-06-29 23:04:33
130,Tateyama,JP,34.9833,139.8667,76.87,87,100,7.16,overcast clouds,2022-06-29 23:04:46
131,Flin Flon,CA,54.7682,-101.865,61.25,63,100,6.31,light rain,2022-06-29 23:00:12
132,Mahebourg,MU,-20.4081,57.7,66.49,82,75,12.66,broken clouds,2022-06-29 23:04:47
133,Mitsamiouli,KM,-11.3847,43.2844,75.54,68,90,8.12,overcast clouds,2022-06-29 23:04:47
134,Alibag,IN,18.6411,72.8792,78.87,87,100,11.05,overcast clouds,2022-06-29 23:05:47
135,Isangel,VU,-19.55,169.2667,74.75,71,43,12.48,scattered clouds,2022-06-29 23:05:48
136,Colares,PT,38.7992,-9.4469,63.75,66,100,25.01,overcast clouds,2022-06-29 23:05:48
137,Sitka,US,57.0531,-135.33,60.69,72,100,10.36,overcast clouds,2022-06-29 23:05:49
138,Raudeberg,NO,61.9875,5.1352,57.87,75,27,5.21,scattered clouds,2022-06-29 23:05:49
139,Cobija,BO,-11.0267,-68.7692,75.51,54,0,1.43,clear sky,2022-06-29 23:05:49
140,Tongliao,CN,43.6125,122.2653,75.33,64,70,1.77,broken clouds,2022-06-29 23:05:50
141,Natchitoches,US,31.7668,-93.1335,93.18,43,75,9.22,broken clouds,2022-06-29 23:05:50
142,Bayonne,FR,43.3333,-1.4167,60.44,94,100,3.44,drizzle,2022-06-29 23:04:49
143,Ahipara,NZ,-35.1667,173.1667,59.23,77,36,18.23,scattered clouds,2022-06-29 23:05:51
144,Klaksvik,FO,62.2266,-6.589,52.72,99,94,14.92,overcast clouds,2022-06-29 23:05:51
145,Nyurba,RU,63.2842,118.3319,61.9,74,95,5.64,overcast clouds,2022-06-29 23:05:52
146,Ancud,CL,-41.8697,-73.8203,44.22,85,40,10.54,light rain,2022-06-29 23:02:58
147,Bushehr,IR,28.9684,50.8385,87.01,54,2,3.74,clear sky,2022-06-29 23:05:52
148,Caravelas,BR,-17.7125,-39.2481,68.58,85,6,5.73,clear sky,2022-06-29 23:05:53
