City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
131,Mahon,ES,2022-06-29 20:29:01,39.8885,4.2658,73.96,83,0,3.44
132,Tuktoyaktuk,CA,2022-06-29 20:29:02,69.4541,-133.0374,50.0,81,100,10.36
133,Hofn,IS,2022-06-29 20:29:02,64.2539,-15.2082,51.22,88,22,7.4
134,Santa Ines,BR,2022-06-29 20:29:03,-3.6667,-45.38,82.74,74,48,2.8
135,Malatya,TR,2022-06-29 20:29:03,38.5,38.0,62.65,52,0,2.3
136,Solnechnyy,RU,2022-06-29 20:29:04,50.7214,136.6319,62.83,91,0,3.06
137,Krasnoselkup,RU,2022-06-29 20:29:04,65.7,82.4667,52.29,86,100,3.18
138,Medvedka,RU,2022-06-29 20:29:05,61.1629,46.387,50.05,65,12,6.13
139,Tasiilaq,GL,2022-06-29 20:30:06,65.6145,-37.6368,42.96,91,100,5.32
140,Fairbanks,US,2022-06-29 20:30:06,64.8378,-147.7164,73.02,50,75,4.61
141,Thompson,CA,2022-06-29 20:26:38,55.7435,-97.8558,60.96,63,100,12.66
142,Zalantun,CN,2022-06-29 20:30:07,48.0,122.7167,64.76,90,4,5.55
143,Faanui,PF,2022-06-29 20:30:11,-16.4833,-151.75,80.06,69,8,19.55
144,Merauke,ID,2022-06-29 20:30:13,-8.4667,140.3333,76.14,93,27,8.34
145,Saskylakh,RU,2022-06-29 20:30:15,71.9167,114.0833,50.02,47,37,6.49
146,Clyde River,CA,2022-06-29 20:30:16,70.4692,-68.5914,41.23,81,20,12.66
147,Port-Gentil,GA,2022-06-29 20:30:28,-0.7193,8.7815,75.16,88,100,9.22
148,Port Alfred,ZA,2022-06-29 20:30:29,-33.5906,26.891,63.41,38,9,6.67
149,Isiolo,KE,2022-06-29 20:30:29,0.3546,37.5822,65.25,66,4,13.29
150,Baker City,US,2022-06-29 20:26:45,44.7749,-117.8344,73.11,38,0,4.61
151,Rio Grande,BR,2022-06-29 20:29:53,-32.035,-52.0986,62.71,75,0,7.25
152,Taltal,CL,2022-06-29 20:30:30,-25.4,-70.4833,64.04,66,23,2.13
153,Gorontalo,ID,2022-06-29 20:30:31,0.5412,123.0595,74.37,94,90,2.95
154,Ponta Do Sol,PT,2022-06-29 20:30:31,32.6667,-17.1,73.0,73,10,7.34
155,Atar,MR,2022-06-29 20:30:32,20.5169,-13.0499,97.52,17,0,9.37
156,Ugoofaaru,MV,2022-06-29 20:30:32,5.6667,73.0,80.8,82,100,24.27
157,Baie-Comeau,CA,2022-06-29 20:30:33,49.2168,-68.1489,61.63,86,100,11.68
158,Kasempa,ZM,2022-06-29 20:30:33,-13.4584,25.8338,56.03,69,51,7.94
159,Kaeo,NZ,2022-06-29 20:30:34,-35.1,173.7833,55.33,89,28,13.98
160,Georgetown,MY,2022-06-29 20:26:43,5.4112,100.3354,76.95,99,40,4.61
161,Urussu,RU,2022-06-29 20:30:35,54.5981,53.4631,47.97,87,9,4.59
162,Kununurra,AU,2022-06-29 20:30:35,-15.7667,128.7333,67.98,64,75,12.66
163,Panaba,MX,2022-06-29 20:30:36,21.2833,-88.2667,88.92,52,73,14.92
164,Abu Dhabi,AE,2022-06-29 20:30:23,24.4667,54.3667,91.42,67,21,2.3
165,Mpika,ZM,2022-06-29 20:30:37,-11.8343,31.4529,51.66,96,7,7.36
166,Hay River,CA,2022-06-29 20:30:07,60.8156,-115.7999,58.98,58,75,10.36
167,Capreol,CA,2022-06-29 20:30:38,46.706,-80.9225,69.55,37,40,2.3
168,Ilebo,CD,2022-06-29 20:30:38,-4.3167,20.5833,72.46,49,76,1.19
169,Yellowknife,CA,2022-06-29 20:30:39,62.456,-114.3525,57.72,51,20,8.05
170,Stanislav,UA,2022-06-29 20:30:39,46.5691,32.1478,75.2,67,6,2.66
171,Meulaboh,ID,2022-06-29 20:30:39,4.1363,96.1285,74.98,84,100,5.99
172,Powell River,CA,2022-06-29 20:30:26,49.8496,-124.5361,64.04,72,100,6.91
173,Yar-Sale,RU,2022-06-29 20:30:40,66.8333,70.8333,43.65,66,100,21.03
174,Juneau,US,2022-06-29 20:30:07,58.3019,-134.4197,64.4,68,75,8.05
175,Alice Springs,AU,2022-06-29 20:30:41,-23.7,133.8833,35.15,75,0,5.75
176,Provideniya,RU,2022-06-29 20:28:51,64.3833,-173.3,41.11,93,40,11.18
177,Strezhevoy,RU,2022-06-29 20:30:42,60.7333,77.5889,53.76,95,100,17.52
178,Hermanus,ZA,2022-06-29 20:30:42,-34.4187,19.2345,61.7,59,11,5.59
179,Movileni,RO,2022-06-29 20:30:42,44.3667,24.65,73.42,43,0,4.05
180,Bonthe,SL,2022-06-29 20:30:43,7.5264,-12.505,79.2,82,100,7.27
181,Aykhal,RU,2022-06-29 20:30:43,66.0,111.5,52.02,78,70,11.81
182,Tommot,RU,2022-06-29 20:30:44,58.9564,126.2925,66.47,94,99,3.49
183,Batemans Bay,AU,2022-06-29 20:30:15,-35.7167,150.1833,50.09,77,100,3.71
184,Kruisfontein,ZA,2022-06-29 20:30:45,-34.0033,24.7314,57.87,42,36,3.29
185,Cabra,ES,2022-06-29 20:31:45,37.4725,-4.4421,81.66,30,0,1.99
186,Bang Saphan,TH,2022-06-29 20:31:46,11.2126,99.5117,79.5,84,50,7.36
187,Dhidhdhoo,MV,2022-06-29 20:30:23,6.8833,73.1,81.16,78,100,22.08
188,Kandrian,PG,2022-06-29 20:29:01,-6.2167,149.55,77.09,88,85,7.29
189,Koudougou,BF,2022-06-29 20:31:47,12.25,-2.3667,90.37,40,37,2.13
190,Sisimiut,GL,2022-06-29 20:31:47,66.9395,-53.6735,41.05,92,100,7.36
